Wikipedia Page	Name	SMILES
https://en.wikipedia.org/wiki/(R)-MDMA	(R)-MDMA	C[C@H](CC1=CC2=C(C=C1)OCO2)N(C)C
https://en.wikipedia.org/wiki/2-Bromo-LSD	2-Bromo-LSD	CCN(CC)C(=O)[C@H]1CN(C)[C@H]2C=C3C(=C[C@H]2[C@H]1CC4=CNC5=CC=CC(Br)=C45)C=CC3=O
https://en.wikipedia.org/wiki/2-Fluorodeschloroketamine	2-Fluorodeschloroketamine	CN(C)[C@H]1CCCCC1(C2=CC=CC(F)=C2)=O
https://en.wikipedia.org/wiki/3-Methylmethcathinone	3-Methylmethcathinone	CC1=CC(=CC=C1)C(C(=O)C)N(C)C
https://en.wikipedia.org/wiki/5-MeO-AI	5-MeO-AI	COC1=CC2=C(CC(C2)N)C=C1
https://en.wikipedia.org/wiki/5-MeO-MiPT	5-MeO-MiPT	CC(C)N(C)CCC1=CNC2=CC(OC)=CC=C21
https://en.wikipedia.org/wiki/Arketamine	Arketamine	CN(C)[C@H]1CCCCC1(C2=CC=CC(Cl)=C2)=O
https://en.wikipedia.org/wiki/ASR-2001	ASR-2001	CCCOC1=C(C=C(C(=C1)CCN)OC)Br
https://en.wikipedia.org/wiki/ASR-3001	ASR-3001	CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)CC=C
https://en.wikipedia.org/wiki/Baeocystin	Baeocystin	CNCC1=CC2=C(C=C1O)NC3=C2C(=O)N(C)C(=O)C3
https://en.wikipedia.org/wiki/Blixeprodil	Blixeprodil	CCOC1=C(C=CC(=C1)C2=CC(=O)N(CCN2C)CC3=CC=CC=C3)OC
https://en.wikipedia.org/wiki/BMB-201	BMB-201	
https://en.wikipedia.org/wiki/BMB-202	BMB-202	
https://en.wikipedia.org/wiki/BMND07	BMND07	CN(C)CCC1=CNC2=C1C=C(C=C2)OC
https://en.wikipedia.org/wiki/Bretisilocin	Bretisilocin	CCN(C)CCC1=CNC2=C1C=C(C=C2)F
https://en.wikipedia.org/wiki/Bufotenin	Bufotenin	CCN(CC)CCC1=CNC2=CC(=C(C=C21)O)OC
https://en.wikipedia.org/wiki/CYB003	CYB003	CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O
https://en.wikipedia.org/wiki/CYB004	CYB004	CN(C)CCC1=CNC2=C1C=CC=C2
https://en.wikipedia.org/wiki/Dimethyltryptamine	Dimethyltryptamine	CN(C)CCC1=CNC2=CC=CC=C21
https://en.wikipedia.org/wiki/Dimethyltryptamine/harmine	Dimethyltryptamine/harmine	
https://en.wikipedia.org/wiki/DLX-159	DLX-159	
https://en.wikipedia.org/wiki/EB-002	EB-002	
https://en.wikipedia.org/wiki/EB-003	EB-003	
https://en.wikipedia.org/wiki/Esketamine	Esketamine	CN(C)[C@H]1CCCCC1(C2=CC=CC(Cl)=C2)=O (S‑enantiomer of ketamine)
https://en.wikipedia.org/wiki/Ibogaine	Ibogaine	COC1=CC2=C(C=C1)N3CCCCC4(C3C2)CC5=CC=CC=C54
https://en.wikipedia.org/wiki/ITI-1549	ITI-1549	CN1c2cccc3c2N(CC12CC2)[C@H]1CCN(CCc2noc4ccccc24)C[C@@H]31
https://en.wikipedia.org/wiki/Ketamine	Ketamine	CN(C)C1(CCCCC1=O)C2=CC=CC(Cl)=C2
https://en.wikipedia.org/wiki/Ketamine/temsirolimus	Ketamine/temsirolimus	
https://en.wikipedia.org/wiki/Ketanserin	Ketanserin	CCOC1=CC(=CC(=C1)C2=CC(=O)N(CCN2CC3=CC=CC=C3)CC4=CC=CC=C4)OC
https://en.wikipedia.org/wiki/LPH-48	LPH-48	COc1cc(CC2CC2)c(OC)cc1C[C@@H](C)N
https://en.wikipedia.org/wiki/LPH-5_(drug)	LPH-5 (drug)	CN[C@@H](C)Cc1cc2c(cc1OC)OCC2
