Name	SMILES
AEM	CCC(Cc1cc(OC)c(c(c1)OC)OC)N
AL	NCCc1cc(OC)c(c(c1)OC)OCC=C
ALEPH	COc1cc(SC)c(cc1CC(N)C)OC
ALEPH-2	CCSc1cc(OC)c(cc1OC)CC(N)C
ALEPH-4	COc1cc(SC(C)C)c(cc1CC(N)C)OC
ALEPH-7	CCCSc1cc(OC)c(cc1OC)CC(N)C
ARIADNE	CCC(Cc1cc(OC)c(cc1OC)C)N
ASB	NCCc1cc(OCC)c(c(c1)OC)OCC
B	CCCCOc1c(OC)cc(cc1OC)CCN
BEATRICE	CNC(Cc1cc(OC)c(cc1OC)C)C
BIS-TOM	CSc1cc(C)c(cc1CC(N)C)SC
BOB	COC(c1cc(OC)c(cc1OC)Br)CN
BOD	COC(c1cc(OC)c(cc1OC)C)CN
BOH	COC(c1ccc2c(c1)OCO2)CN
BOHD	NCC(c1cc(OC)c(cc1OC)C)O
BOM	NCC(c1cc(OC)c(c(c1)OC)OC)OC
4-BR-3,5-DMA	C1=C(C(=C(C=C1CC(C)N)OC)Br)OC
2-BR-4,5-MDA	Brc1cc2c(OCO2)cc1CC(C)N
2C-B	NCCc1cc(OC)c(cc1OC)Br
2C-D	NCCc1cc(OC)c(cc1OC)C
3C-BZ	COc1cc(CC(N)C)cc(c1OCc1ccccc1)OC
2C-C	NCCc1cc(OC)c(cc1OC)Cl
2C-E	NCCc1cc(OC)c(cc1OC)CC
3C-E	CCOc1c(OC)cc(cc1OC)CC(N)C
2C-F	NCCc1cc(OC)c(cc1OC)F
2C-G	NCCc1cc(OC)c(c(c1OC)C)C
2C-G-3	NCCc1cc(OC)c2c(c1OC)CCC2
2C-G-4	NCCc1cc(OC)c2c(c1OC)CCCC2
2C-G-5	NCCc1cc(OC)c2c(c1OC)C1CCC2C1
2C-G-N	NCCc1cc(OC)c2c(c1OC)cccc2
2C-H	NCCc1cc(OC)ccc1OC
2C-I	NCCc1cc(OC)c(cc1OC)I
2C-N	NCCc1cc(OC)c(cc1OC)N(=O)=O
2C-O-4	NCCc1cc(OC)c(cc1OC)OC(C)C
2C-P	CCCc1cc(OC)c(cc1OC)CCN
CPM	NCCc1cc(OC)c(c(c1)OC)OCC1CC1
2C-SE	NCCc1cc(OC)c(cc1OC)[Se]C
2C-T	NCCc1cc(OC)c(cc1OC)SC
2C-T-2	NCCc1cc(OC)c(cc1OC)SCC
2C-T-4	NCCc1cc(OC)c(cc1OC)SC(C)C
gamma-2C-T-4	CC(C)Sc1cc(OC)c(cc1OC)CCN
2C-T-7	CCCSc1cc(OC)c(cc1OC)CCN
2C-T-8	NCCc1cc(OC)c(cc1OC)SCC1CC1
2C-T-9	NCCc1cc(OC)c(cc1OC)SC(C)(C)C
2C-T-13	COCCSc1cc(OC)c(cc1OC)CCN
2C-T-15	NCCc1cc(OC)c(cc1OC)SC1CC1
2C-T-17	NCCc1cc(OC)c(cc1OC)SC(CC)C
2C-T-21	NCCc1cc(OC)c(cc1OC)SCCF
4-D	NCCc1cc(OC)c(c(c1)OC)OC([2H])([2H])[2H]
beta-D	COc1c(cc(cc1OC)C([2H])([2H])CN)OC
DESOXY	NCCc1cc(OC)c(c(c1)OC)C
2,4-DMA	COc1cc(OC)ccc1CC(N)C
2,5-DMA	COc1ccc(c(c1)CC(N)C)OC
3,4-DMA	COc1cc(ccc1OC)CC(N)C
DMCPA	COc1cc(C)c(cc1C1CC1N)OC
DME	NCC(c1ccc(c(c1)OC)OC)O
DMMDA	COc1cc(CC(N)C)c(c2c1OCO2)OC
DMMDA-2	COc1c(CC(N)C)cc2c(c1OC)OCO2
DMPEA	NCCc1ccc(c(c1)OC)OC
DOAM	CCCCCc1cc(OC)c(cc1OC)CC(N)C
DOB	COc1cc(Br)c(cc1CC(N)C)OC
DOBU	CCCCc1cc(OC)c(cc1OC)CC(N)C
DOC	COc1cc(Cl)c(cc1CC(N)C)OC
DOEF	FCCc1cc(OC)c(cc1OC)CC(N)C
DOET	COc1cc(CC)c(cc1CC(N)C)OC
DOI	COc1cc(I)c(cc1CC(N)C)OC
DOM	COc1cc(C)c(cc1CC(N)C)OC
DON	COc1cc(N(=O)=O)c(cc1CC(N)C)OC
DOPR	CCCc1cc(OC)c(cc1OC)CC(N)C
E	NCCc1cc(OC)c(c(c1)OC)OCC
EEE	CCOc1cc(OCC)c(cc1CC(N)C)OCC
EEM	CCOc1cc(OCC)c(cc1CC(N)C)OC
EME	CCOc1cc(OC)c(cc1CC(N)C)OCC
EME	COC(=O)[C@H]1[C@@H](O)CC2N(C1CC2)C
EMM	CCOc1cc(OC)c(cc1CC(N)C)OC
ETHYL-J	CCNC(Cc1ccc2c(c1)OCO2)CC
ETHYL-K	CCCC(Cc1ccc2c(c1)OCO2)NCC
F-2	COc1cc2CC(Oc2cc1CC(N)C)C
F-22	COc1cc2CC(Oc2cc1CC(N)C)(C)C
FLEA	CN(C(Cc1ccc2c(c1)OCO2)C)O
G-3	COc1cc(CC(N)C)c(c2c1CCC2)OC
G-4	COc1cc(CC(N)C)c(c2c1CCCC2)OC
G-5	COc1cc(CC(N)C)c(c2c1C1CCC2C1)OC
GANESHA	COc1cc(CC(N)C)c(c(c1C)C)OC
G-N	COc1cc(CC(N)C)c(c2c1cccc2)OC
HOT-2	ONCCc1cc(OC)c(cc1OC)SCC
HOT-7	ONCCc1cc(OC)c(cc1OC)SCCC
HOT-17	ONCCc1cc(OC)c(cc1OC)SC(CC)C
IDNNA	COc1cc(I)c(cc1CC(N(C)C)C)OC
IM	NCCc1ccc(c(c1OC)OC)OC
IP	NCCc1cc(OC)c(c(c1)OC)OC(C)C
IRIS	CCOc1cc(CC(N)C)c(cc1C)OC
J	CCC(Cc1ccc2c(c1)OCO2)N
